Wavelength,sCone,mCone,lCone,rod,mel
691,0,0.000219712,0.007023889,0.00003295,0.0000054469
692,0,0.000203908,0.00653084,0.00003075,0.00000508493
693,0,0.000189389,0.006075955,0.0000287,0.00000474794
694,0,0.000175997,0.005654377,0.00002679,0.00000443417
695,0,0.000163611,0.005261993,0.00002501,0.00000414195
696,0,0.000152118,0.004895775,0.00002336,0.00000386975
697,0,0.000141448,0.004553953,0.00002182,0.00000361614
698,0,0.000131532,0.004235276,0.00002038,0.0000033798
699,0,0.000122316,0.003938594,0.00001905,0.00000315953
700,0,0.000113749,0.003662579,0.0000178,0.00000295418
701,0,0.000105774,0.00340596,0.00001664,0.00000276271
702,0,0.0000983466,0.003167005,0.00001556,0.00000258414
703,0,0.0000914196,0.00294405,0.00001454,0.00000241758
704,0,0.0000849509,0.002735702,0.0000136,0.00000226218
705,0,0.0000789052,0.00254062,0.00001273,0.00000211717
706,0,0.0000732525,0.002357807,0.00001191,0.00000198183
707,0,0.0000679811,0.002186928,0.00001114,0.00000185549
708,0,0.0000630744,0.002027534,0.00001043,0.00000173753
709,0,0.0000585204,0.001879142,0.00000976,0.00000162737
710,0,0.0000543026,0.001741362,0.00000914,0.00000152448
711,0,0.0000504026,0.001613675,0.00000856,0.00000142836
712,0,0.0000467998,0.001495482,0.00000802,0.00000133854
713,0,0.0000434704,0.001386227,0.00000751,0.00000125461
714,0,0.0000403946,0.001285421,0.00000704,0.00000117615
715,0,0.0000375528,0.00119249,0.0000066,0.00000110279
716,0,0.0000349276,0.001106859,0.00000618,0.0000010342
717,0,0.000032498,0.001027823,0.0000058,0.000000970053
718,0,0.0000302456,0.000954691,0.00000544,0.000000910046
719,0,0.0000281538,0.000886861,0.0000051,0.000000853903
720,0,0.0000262078,0.000823829,0.00000478,0.000000801367
721,0,0.0000243963,0.00076515,0.00000449,0.000000752197
722,0,0.0000227115,0.000710633,0.00000421,0.000000706168
723,0,0.0000211465,0.000660029,0.000003951,0.000000663073
724,0,0.0000196951,0.000613167,0.000003709,0.000000622717
725,0,0.0000183501,0.000569814,0.000003482,0.000000584919
726,0,0.0000171051,0.000529757,0.00000327,0.000000549511
727,0,0.0000159509,0.000492708,0.00000307,0.000000516336
728,0,0.0000148789,0.000458385,0.000002884,0.000000485247
729,0,0.0000138825,0.000426541,0.00000271,0.000000456109
730,0,0.0000129543,0.000396962,0.000002546,0.000000428794
731,0,0.0000120884,0.000369443,0.000002393,0.000000403183
732,0,0.0000112806,0.00034383,0.00000225,0.000000379166
733,0,0.0000105268,0.000319956,0.000002115,0.00000035664
734,0,0.00000982263,0.000297697,0.000001989,0.000000335509
735,0,0.00000916514,0.000276923,0.00000187,0.000000315683
736,0,0.00000855106,0.000257532,0.000001759,0.000000297078
737,0,0.0000079792,0.000239493,0.000001655,0.000000279616
738,0,0.00000744832,0.000222753,0.000001557,0.000000263224
739,0,0.00000695676,0.000207278,0.000001466,0.000000247834
740,0,0.00000650315,0.000193002,0.000001379,0.000000233382
741,0,0.00000608472,0.000179858,0.000001299,0.000000219809
742,0,0.00000569753,0.000167717,0.000001223,0.000000207059
743,0,0.00000533742,0.000156457,0.000001151,0.00000019508
744,0,0.00000500076,0.000145972,0.000001084,0.000000183824
745,0,0.00000468467,0.000136168,0.000001022,0.000000173246
746,0,0.00000438684,0.000126984,0.000000962,0.000000163302
747,0,0.0000041068,0.000118389,0.000000907,0.000000153954
748,0,0.0000038441,0.000110368,0.000000855,0.000000145164
749,0,0.00000359836,0.000102895,0.000000806,0.000000136897
750,0,0.00000336895,0.0000959498,0.00000076,0.000000129122
751,0,0.00000315517,0.0000895042,0.000000716,0.000000121807
752,0,0.00000295598,0.0000835203,0.000000675,0.000000114925
753,0,0.00000277031,0.0000779614,0.000000637,0.000000108448
754,0,0.00000259719,0.0000727942,0.000000601,0.000000102353
755,0,0.00000243568,0.0000679865,0.000000567,0.000000096615
756,0,0.00000228499,0.0000635124,0.000000535,0.0000000912127
757,0,0.00000214407,0.0000593421,0.000000505,0.0000000861258
758,0,0.00000201211,0.0000554506,0.000000477,0.000000081335
759,0,0.00000188827,0.0000518167,0.00000045,0.0000000768224
760,0,0.00000177193,0.0000484197,0.000000425,0.0000000725712
761,0,0.00000166249,0.0000452421,0.000000401,0.0000000685656
762,0,0.00000155969,0.0000422741,0.000000379,0.0000000647908
763,0,0.00000146335,0.0000395061,0.000000358,0.0000000612331
764,0,0.00000137321,0.0000369303,0.0000003382,0.0000000578794
765,0,0.00000128904,0.0000345351,0.0000003196,0.0000000547175
766,0,0.00000121049,0.0000323101,0.0000003021,0.000000051736
767,0,0.00000113705,0.0000302389,0.0000002855,0.0000000489241
768,0,0.00000106818,0.0000283043,0.0000002699,0.000000046272
769,0,0.00000100346,0.0000264915,0.0000002552,0.00000004377
770,0,0.000000942441,0.0000247897,0.0000002413,0.0000000414093
771,0,0.000000884867,0.0000231887,0.0000002282,0.0000000391816
772,0,0.000000830694,0.0000216875,0.0000002159,0.0000000370792
773,0,0.000000779925,0.0000202848,0.0000002042,0.0000000350946
774,0,0.000000732529,0.0000189785,0.0000001932,0.0000000332211
775,0,0.000000688423,0.0000177662,0.0000001829,0.000000031452
776,0,0.000000647464,0.0000166431,0.0000001731,0.0000000297814
777,0,0.000000609333,0.0000156007,0.0000001638,0.0000000282036
778,0,0.000000573711,0.0000146296,0.0000001551,0.0000000267131
779,0,0.000000540295,0.0000137221,0.0000001468,0.000000025305
780,0,0.000000508872,0.0000128711,0.000000139,0.0000000239744
